Postcode-4,Inwoners Totaal (x1),Geboren in Nederland met een Nederlandse herkomst (%),Huishouden Totaal (x1),Huishoudgrootte (x1),Woning Totaal (x1),Eigendom Koopwoning (%),"WOZ-waarde
woning (x 1 000 Euro)",Omgevingsadressendichtheid (adressen/km2)
1687,6385,90,2480,2.4,2495,80,382,578
1688,2535,90,1025,2.4,1020,80,340,310
1689,17595,80,7410,2.4,7330,70,296,1308
1691,660,90,270,2.4,270,80,404,66
1692,25,90,10,2.4,10,80,421,23
1693,8110,90,3480,2.3,3605,70,331,592
1695,4585,90,2050,2.2,2070,80,356,1678
1696,1560,90,635,2.5,625,80,386,316
1697,860,90,385,2.2,380,90,422,146
1701,8870,80,3630,2.3,3670,80,295,1485
1702,8470,80,3770,2.2,3790,60,272,2016
1703,12555,70,5945,2.1,6010,60,253,2195
1704,9145,80,3540,2.5,3515,80,378,922
1705,17195,70,6720,2.5,6735,70,315,1732
1706,2815,80,925,2.9,1025,80,363,739
1711,1570,90,680,2.3,610,80,371,220
1713,5925,90,2380,2.4,2475,80,319,633
1715,4635,90,1980,2.3,1885,70,327,644
1716,2150,90,935,2.3,920,70,292,696
1718,3935,90,1720,2.3,1685,80,316,476
1719,470,90,195,2.3,180,70,395,51
1721,6125,90,2430,2.5,2490,70,363,864
1722,6625,90,2760,2.4,2815,80,352,1095
1723,5770,90,2605,2.2,2530,70,286,1166
1724,3865,90,1660,2.3,1490,80,328,543
1731,3455,90,1395,2.5,1420,70,313,441
1732,770,90,325,2.4,310,80,380,74
1733,3300,90,1390,2.3,1515,70,318,388
1734,410,90,160,2.6,155,90,444,46
1735,2190,90,900,2.4,915,80,323,251
1736,400,100,145,2.7,145,90,410,159
1738,2700,90,1095,2.4,1060,80,334,292
1741,12860,90,6065,2.1,6295,60,301,1614
1742,6470,80,2935,2.2,2900,70,296,967
1744,1825,90,805,2.3,795,80,353,130
1746,1620,90,730,2.2,680,80,321,302
1747,3755,90,1565,2.3,1500,70,315,414
1749,6055,90,2560,2.3,2505,80,337,530
1751,2090,90,860,2.4,880,70,317,204
1752,735,90,320,2.3,300,90,333,133
1753,630,80,315,2.0,245,70,317,257
1754,870,90,360,2.4,350,80,338,61
1755,1645,90,760,2.2,750,70,318,243
1756,2495,90,1010,2.4,1075,70,281,289
1757,715,90,315,2.3,310,80,285,110
1759,2335,90,1150,2.0,1190,70,314,382
1761,8525,90,3715,2.3,3720,70,275,746
1764,3780,90,1620,2.3,1615,80,303,219
1766,2350,90,965,2.4,1005,70,293,203
1767,1085,90,490,2.2,505,70,285,154
1768,915,90,395,2.3,390,80,397,69
1769,185,90,80,2.4,80,90,494,35
1771,6020,80,2745,2.2,2735,70,268,596
1773,570,70,255,2.2,235,80,186,94
1774,2145,80,895,2.4,830,70,320,153
1775,4205,80,2005,2.1,1650,70,290,451
1777,5095,90,2385,2.1,2415,60,253,552
1778,925,90,420,2.2,430,80,309,109
1779,2445,90,1100,2.2,1135,70,246,388
1781,9050,80,4970,1.8,5175,50,147,2333
1782,10635,80,5375,1.9,5580,60,159,2424
1783,2605,80,1400,1.9,1425,40,175,1400
1784,9310,70,4285,2.0,4610,40,166,1503
1785,9135,80,4685,1.9,4810,40,181,1404
1786,140,90,65,2.1,70,90,302,169
1787,3005,90,1060,2.3,1265,70,310,655
1788,11860,80,5165,2.3,5170,80,234,1392
1789,590,90,285,2.1,295,90,369,333
1791,7175,90,3500,2.0,3760,60,308,904
1792,1310,90,575,2.3,585,80,333,211
1793,360,90,165,2.1,165,80,372,41
1794,1330,90,595,2.2,600,80,335,143
1795,1160,90,560,2.1,530,80,358,146
1796,1360,80,660,2.0,775,60,375,391
1797,990,80,485,2.0,525,60,334,74
1811,5350,80,3490,1.5,3420,40,280,4149
1812,220,90,105,2.1,80,80,311,994
1813,8870,60,4415,2.0,4285,40,243,2660
1814,9430,80,4490,2.0,4875,50,272,3349
1815,7145,80,3675,1.9,3630,70,335,3285
1816,8640,70,4515,1.8,4585,50,248,2202
1817,3995,80,1940,2.0,1845,60,338,1838
1821,1660,80,860,1.9,795,50,278,2909
1822,5985,80,2285,2.6,2155,70,398,1506
1823,7110,70,3295,2.2,3230,60,302,2897
1824,7585,70,3675,2.1,3625,50,253,2221
1825,9155,70,4540,2.0,4590,60,226,2117
1826,6435,80,3065,2.1,2970,70,246,2496
1827,10405,80,4705,2.2,4675,60,267,1993
1829,4080,80,1795,2.2,1945,60,334,1249
1831,2410,80,1090,2.2,1095,60,289,1197
1832,270,90,105,2.5,95,80,394,56
1834,5975,90,2440,2.4,2510,80,363,1042
1841,2090,90,885,2.4,825,80,340,234
1842,630,90,240,2.5,245,80,446,122
1843,695,90,295,2.3,305,80,424,75
1844,245,90,95,2.5,95,80,464,20
1846,390,90,155,2.5,155,90,419,38
1847,265,90,105,2.6,90,90,492,53
1851,12795,90,5725,2.2,5735,70,428,1285
1852,10500,80,4845,2.1,4960,70,404,1476
1853,1090,90,400,2.7,400,80,505,1545
1861,6410,80,3165,2.0,3415,70,667,1099
1862,6105,80,2860,2.0,3015,60,458,1129
1865,340,80,195,1.7,410,60,744,158
1871,4710,80,2150,2.1,2285,70,495,435
1873,1445,90,670,2.2,685,70,395,364
1901,14715,90,6610,2.2,6780,70,405,1660
1902,8620,80,3975,2.2,3995,70,383,1754
1906,7705,90,3255,2.3,3290,80,447,818
1911,13565,90,5690,2.4,5730,70,361,1103
1921,5060,90,2120,2.4,2145,80,385,532
1931,4575,90,2270,1.9,2910,60,344,1225
1934,3560,90,1545,2.3,1525,80,390,497
1935,2575,90,1120,2.3,1140,80,356,402
1941,3590,70,2170,1.6,2225,50,218,2892
1942,2435,80,1155,2.1,1165,70,378,2836
1943,5275,80,2350,2.2,2325,70,324,2702
1944,7155,70,3385,2.1,3375,50,273,3239
1945,6905,70,3375,2.0,3545,40,258,3536
1946,4610,50,2120,2.2,2060,30,231,3159
1947,3700,60,1695,2.1,1645,50,257,3193
1948,6250,70,2050,3.0,1985,70,423,1565
1949,2170,80,1140,1.9,1305,60,281,456
1951,5315,60,2495,2.1,2450,40,233,1041
1961,1320,90,790,1.6,790,40,336,2842
1962,7455,70,3485,2.1,3540,40,283,2422
1963,5510,80,2450,2.2,2445,70,342,1604
1964,7050,80,3235,2.1,3445,60,332,2544
1965,6010,90,2445,2.5,2370,80,413,3085
1966,5070,60,2565,2.0,2600,50,243,3006
1967,5240,80,1860,2.7,1840,80,440,1481
1968,330,90,135,2.2,160,70,601,325
1969,1210,90,475,2.6,490,80,492,1133
1971,8860,80,4205,2.1,4165,60,284,2337
1972,8230,80,4080,2.0,4195,40,242,2994
1973,5915,70,2825,2.1,2945,40,237,2931
1974,6135,70,2985,2.0,3055,40,259,1730
1975,2775,70,1450,1.8,1535,30,243,1983
1976,320,70,190,1.7,185,50,368,1110
